english	ukrainian	gender	note
Mini Flag	Мініпрапорець	m	
Glowing Musical Notes	Сяйливі ноти	pl	
Bamboo Fence	Бамбуковий паркан	m	
Side Table	Приставний столик	m	
Coffee Table	Журнальний столик	m	
Kitchen Island	Кухонний острів	m	
Single-Door Counter	Однодверна тумба	f	
Corner Counter	Кутова тумба	f	
Single-Door Top Cupboard	Однодверна навісна шафка	f	
Black Marble Top	стільниця з чорного мармуру	f	
White Marble Top	стільниця з білого мармуру	f	
Gray Marble Top	стільниця з сірого мармуру	f	
Micberry Tree	Дерево мікрофон-ягоди	n	mic + berry pun
Passion Lily	Лілія пристрасті	f	
Special Starfish	Особлива морська зірка	f	
Doggy Donut	Собачий пончик	m	
Spider Stew	Павуча юшка	f	
Pumpkin Soup	Гарбузовий суп	m	
Fruit Salad	Фруктовий салат	m	
Jellied Salad	Желейний салат	m	
Rolling Spaghetti	Спагеті-перекотиполе	n	
Sesame Balls	Кунжутні кульки	pl	
Grecian Baked Fish	Запечена риба по-грецьки	f	
Greek Garum	Грецький гарум	m	
Arendellian Pickled Herring	Еренделльський маринований оселедець	m	Arendelle = Еренделл
Mermaid Cupcakes	Русалчині капкейки	pl	
Hot Cocoa	Гаряче какао	n	
Dream Fizz	Шипучка мрій	f	
Dream Ice Cream	Морозиво мрій	n	
Boba Tea	Бабл-ті	m	
Sea Turtle	морська черепаха	f	
Baby Dragon	Дракончик	m	
Little Sparkles	Маленька Іскорка	f	Pooh-region fairy nickname; speaker: female
Pride Month	Місяць прайду	m	
Valentine's Day	День святого Валентина	m	
New Orleans	Новий Орлеан	m	
Ticket	Квиток	m	
Discord	Discord	-	brand — keep Latin
Tramp's House	Будинок Блудька	m	
Vanellope's House	Будинок Ванеллопи	m	
Ralph's House	Будинок Ральфа	m	
Phil's House	Будинок Філа	m	
Jasmine's House	Будинок Жасмин	m	
Alice's House	Будинок Аліси	m	
Ursula's House	Будинок Урсули	m	
Hades' House	Будинок Аїда	m	
Cruella's House	Будинок Круелли	m	
Aladdin's House	Будинок Аладдіна	m	
Moana's House	Будинок Моани	m	
WALL·E's House	Будинок ВОЛЛ·І	m	
WALL·E's Garden	Сад ВОЛЛ·І	m	
Mister McDuck	містер Макдак	m	= Scrooge
Big Red Monster	Велике червоне чудовисько	n	probably Mei's red panda (Turning Red)
Companions	Компаньйони	pl	
Tiger Cub	Тигреня	n	
Ancient Robot	Давній робот	m	
Baby Bat	Кажаненя	n	
Classic Sea Turtle	Класична морська черепаха	f	colour variants: <колір> + морська черепаха
Brown Sea Turtle	Бура морська черепаха	f	
White Sea Turtle	Біла морська черепаха	f	never «Біломорська»
Purple Sea Turtle	Фіолетова морська черепаха	f	
Black Sea Turtle	Чорна морська черепаха	f	never «Чорноморська»
Celestial Sea Turtle	Небесна морська черепаха	f	
Grizzly Bear Cub	Ведмежа грізлі	n	
Rainbow Bird Snippet	Райдужний пташиний клаптик	m	
Red Bird Snippet	Червоний пташиний клаптик	m	
Blue Bird Snippet	Синій пташиний клаптик	m	
Green Bird Snippet	Зелений пташиний клаптик	m	
Yellow Bird Snippet	Жовтий пташиний клаптик	m	
White Bird Snippet	Білий пташиний клаптик	m	
Shadowy Bird Snippet	Тіньовий пташиний клаптик	m	
Baby Lynx	Рисеня	n	
Witchy Kitty	Відьмине кошеня	n	
Star Command Cat	Кіт Зоряного командування	m	
Calico Kitten	Трикольорове кошеня	n	
Mochi	Моті	m	cat
Scottish Fold Cat	Шотландський висловухий кіт	m	
Choco Crocodile	Шоколадний крокодил	m	
Classic Crocodile	Класичний крокодил	m	
Blue Crocodile	Синій крокодил	m	
Red Crocodile	Червоний крокодил	m	
Golden Crocodile	Золотий крокодил	m	
White Crocodile	Білий крокодил	m	
Pink Crocodile	Рожевий крокодил	m	
Dapper Crocodile	Чепурний крокодил	m	
Blue Whimsical Crocodile	Синій химерний крокодил	m	Whimsical = химерний everywhere
Pink Whimsical Crocodile	Рожевий химерний крокодил	m	
Bountiful Croc	Щедрий крокодил	m	
Pirate Crocodile	Піратський крокодил	m	
Classic Raven	Класичний ворон	m	
Red Raven	Червоний ворон	m	
White Raven	Білий ворон	m	
Blue Raven	Синій ворон	m	
Brown Raven	Бурий ворон	m	
Everafter Demon Snippet	Чортячий клаптик із Вічноказки	m	
Neverafter Demon Snippet	Чортячий клаптик із Лихоказки	m	
Rainbow Demon Snippet	Райдужний чортячий клаптик	m	
Pink Demon Snippet	Рожевий чортячий клаптик	m	
Blue Demon Snippet	Синій чортячий клаптик	m	
Red Demon Snippet	Червоний чортячий клаптик	m	
Green Demon Snippet	Зелений чортячий клаптик	m	
Shadowy Demon Snippet	Тіньовий чортячий клаптик	m	
Wolf Cub	Вовченя	n	
Corgi Puppy	Цуценя коргі	n	
Husky Puppy	Цуценя хаскі	n	
Blooming Puppy	Квітуче цуценя	n	
Sailing Skipper Dachshund	Такса-шкіпер	f	
Shiba Inu	Сіба-іну	m	
Robo Capybara	Робокапібара	f	
Classic Capybara	Класична капібара	f	
Blue Striped Capybara	Синя смугаста капібара	f	
Gray Spotted Capybara	Сіра плямиста капібара	f	
Toon Capybara	Мультяшна капібара	f	Toon = мультяшний everywhere
Flowery Capybara	Квітчаста капібара	f	
Nostalgia Capybara	Ностальгічна капібара	f	
Relaxing Capybara	Розслаблена капібара	f	
Classic Cobra	Класична кобра	f	
Pink Spotted Cobra	Рожева плямиста кобра	f	
Toon Cobra	Мультяшна кобра	f	
Tea Party Monkey	Мавпа з чаювання	f	
Classic Monkey	Класична мавпа	f	
Beige Monkey	Бежева мавпа	f	
Toon Monkey	Мультяшна мавпа	f	
Jester Monkey	Мавпа-блазень	f	
Pirate Monkey	Мавпа-пірат	f	
Lieutenant Monkey	Мавпа-лейтенант	f	
Blue Baby Dragon	Синій дракончик	m	
Red Baby Dragon	Червоний дракончик	m	
Green Baby Dragon	Зелений дракончик	m	
Purple Baby Dragon	Фіолетовий дракончик	m	
Teal Baby Dragon	Бірюзовий дракончик	m	
Knightly Dragon	Лицарський дракон	m	
Sakura Blossom Dragon	Дракон квітучої сакури	m	
Scholarly Baby Dragon	Дракончик-учений	m	Scholarly = учений
Train Conductor Dragon	Дракон-кондуктор	m	
Pink Pegasus	Рожевий пегас	m	
Blue Pegasus	Синій пегас	m	
Yellow Pegasus	Жовтий пегас	m	
Peach Pegasus	Персиковий пегас	m	
Black Pegasus	Чорний пегас	m	
Botanical Pegasus	Ботанічний пегас	m	
Baby Pegasus	Пегасик	m	
Festive Pegasus	Святковий пегас	m	
Pink Baby Pegasus	Рожевий пегасик	m	
Winter Fairy Unicorn	Єдиноріг зимової феї	m	
Brown Owl	Бура сова	f	
Purple Owl	Фіолетова сова	f	
Dark Owl	Темна сова	f	
Light Owl	Світла сова	f	
White Owl	Біла сова	f	
Scholarly Owl	Сова-учена	f	
Witching Owl	Відьмина сова	f	
BamBee	Бджембі	m	Bambi + bee pun
Sweet Bee	Солоденька бджілка	f	
Pink Sweet Bee	Рожева солоденька бджілка	f	
Blue Sweet Bee	Блакитна солоденька бджілка	f	
White Sweet Bee	Біла солоденька бджілка	f	
Skunk	Скунс	m	
Brown Skunk	Бурий скунс	m	
White Skunk	Білий скунс	m	
Patterned Skunk	Візерунчастий скунс	m	
Jester Skunk	Скунс-блазень	m	
Abigail the Goose	Гуска Абігейл	f	
Amelia the Goose	Гуска Амелія	f	
Yeehaw Goose	Гусак «Йі-ха!»	m	
Goose	Гусак	m	companion geese = гусак (m) unless named female
True North Goose	Гусак Справжньої Півночі	m	
Black Goose	Чорний гусак	m	
Golden Goose	Золотий гусак	m	
Blue Goose	Синій гусак	m	
Yellow Goose	Жовтий гусак	m	
Fantasia Broomstick	Мітла з «Фантазії»	f	
The Footstool	Пуфик	m	Beauty and the Beast footstool-dog
Classic Raccoon	Класичний єнот	m	
Red Raccoon	Червоний єнот	m	
Black Raccoon	Чорний єнот	m	
White Raccoon	Білий єнот	m	
Blue Raccoon	Синій єнот	m	
Blue Whimsical Raccoon	Синій химерний єнот	m	
Pink Whimsical Raccoon	Рожевий химерний єнот	m	
Anger Raccoon	Єнот Гнів	m	Inside Out emotions keep the dub names: Радість, Сум, Гнів, Страх, Відраза, Тривога, Заздрість, Нудьга, Сором'язливість
Disgust Raccoon	Єнот Відраза	m	
Fear Raccoon	Єнот Страх	m	
Joy Raccoon	Єнот Радість	m	
Sadness Raccoon	Єнот Сум	m	
Wind-Up Raccoon	Заводний єнот	m	
Snowy Raccoon	Сніжний єнот	m	
Blue Whimsical Fox	Синій химерний лис	m	fox companions = лис (m) everywhere
Pink Whimsical Fox	Рожевий химерний лис	m	
Scholarly Fox	Лис-учений	m	
Fennec Fox	Лис-фенек	m	
Festive Fox	Святковий лис	m	
White Fox	Білий лис	m	
Classic Fox	Класичний лис	m	
Black Fox	Чорний лис	m	
Blue Fox	Синій лис	m	
Red Fox	Рудий лис	m	
"Ghostly ""Zero"" Fox"	Примарний лис «Зеро»	m	
Dancing Lion Fox	Лис у костюмі танцівного лева	m	lion-dance costume
Lion Cub Fox	Лис-«левеня»	m	
Rainbow Fox	Райдужний лис	m	
Regal Fox	Величний лис	m	
Neverafter Frog Snippet	Жаб'ячий клаптик із Лихоказки	m	
Rainbow Frog Snippet	Райдужний жаб'ячий клаптик	m	
Blue Frog Snippet	Синій жаб'ячий клаптик	m	
Pink Frog Snippet	Рожевий жаб'ячий клаптик	m	
Purple Frog Snippet	Фіолетовий жаб'ячий клаптик	m	
Yellow Frog Snippet	Жовтий жаб'ячий клаптик	m	
Shadowy Frog Snippet	Тіньовий жаб'ячий клаптик	m	
Classic Rabbit	Класичний кролик	m	
Black Rabbit	Чорний кролик	m	
Brown Rabbit	Бурий кролик	m	
White Rabbit	Білий кролик	m	
Calico Rabbit	Трикольоровий кролик	m	
Busy Bee Hedgehog	Їжачок-бджілка	m	
Classic Hedgehog	Класичний їжак	m	
Yellow Hedgehog	Жовтий їжак	m	
Green Hedgehog	Зелений їжак	m	
Orange Hedgehog	Помаранчевий їжак	m	
Pink Crochet Pig	Рожеве в'язане порося	n	
Blue Whimsical Rabbit	Синій химерний кролик	m	
Pink Whimsical Rabbit	Рожевий химерний кролик	m	
Envy Rabbit	Кролик Заздрість	m	
Gingerbread Rabbit	Пряниковий кролик	m	
Honey Bunny	Медовий зайчик	m	
Gentle Rabbit	Лагідний кролик	m	
Blue Spring Rabbit	Синій весняний кролик	m	
Pink Spring Rabbit	Рожевий весняний кролик	m	
Yellow Spring Rabbit	Жовтий весняний кролик	m	
Frosty Rabbit	Морозний кролик	m	
Mystical Phoenix	Містичний фенікс	m	
Blue Whimsical Raven	Синій химерний ворон	m	
Pink Whimsical Raven	Рожевий химерний ворон	m	
Ennui Raven	Ворон Нудьга	m	
Purple Fiery Raven	Пурпуровий вогняний ворон	m	
Fiery Raven	Вогняний ворон	m	
Mini Reindeer	Оленятко	n	
Red Sunbird	Червона нектарниця	f	Sunbird = нектарниця
Turquoise Sunbird	Бірюзова нектарниця	f	
Emerald Sunbird	Смарагдова нектарниця	f	
Golden Sunbird	Золота нектарниця	f	
Orchid Sunbird	Орхідейна нектарниця	f	
Blue Whimsical Sunbird	Синя химерна нектарниця	f	
Pink Whimsical Sunbird	Рожева химерна нектарниця	f	
Anxiety Squirrel	Білка Тривога	f	
Blue Whimsical Squirrel	Синя химерна білка	f	
Pink Whimsical Squirrel	Рожева химерна білка	f	
IncrediSquirrel	Супербілка	f	Incredibles = Суперсімейка pun
Magical Squirrel	Чарівна білка	f	
Peppy Popcorn Squirrel	Бадьора попкорн-білка	f	
Scary Squirrel	Страшна білка	f	
Classic Squirrel	Класична білка	f	
Red Squirrel	Руда білка	f	
Gray Squirrel	Сіра білка	f	
Black Squirrel	Чорна білка	f	
White Squirrel	Біла білка	f	
BB-8	BB-8	m	Star Wars droid — keep Latin
R2-D2	R2-D2	m	Star Wars droid — keep Latin
Butterfly Companion	Метелик-компаньйон	m	
Pink Lovebird	Рожевий нерозлучник	m	
Green Lovebird	Зелений нерозлучник	m	
Tart Turtle	Черепаха-тарт	f	
Blue Whimsical Turtle	Синя химерна черепаха	f	
Pink Whimsical Turtle	Рожева химерна черепаха	f	
Embarrassment Turtle	Черепаха Сором'язливість	f	
Rock Star Turtle	Черепаха-рок-зірка	f	
Hermit Garden Turtle	Садова черепаха-відлюдниця	f	
Rosy Cloud Turtle	Черепаха «Рожева хмаринка»	f	
A Bug's Life	Пригоди Фліка	pl	
Adventures in Never Land	Пригоди в Небувалії	pl	
Alice in Wonderland	Аліса в Країні чудес	f	
Wonderland	Країна чудес	f	
Wonderland Realm	Світ Країни чудес	m	
The Aristocats	Коти-аристократи	pl	
Atlantis	Атлантида	f	
Bambi	Бембі	m	
Beauty and the Beast	Красуня і Чудовисько	-	film title only; the character is «Звір»
Beast Realm	Світ Звіра	m	
Big Hero 6	Місто героїв	n	official Ukrainian title (NOT Суперсімка — that is not a title)
Brave	Відважна	f	
Cars	Тачки	pl	
Coco	Коко	n	
Disney	Disney	-	brand; «Дісней» only in inflected prose (у Діснея)
Disney Parks	Парки Disney	pl	
A Day at Disney	День у Disney	m	
Disney Fairies	Феї Disney	pl	
Elemental	Елементаль	m	
The Emperor's New Groove	Нові пригоди імператора	pl	
Encanto	Енканто	n	
Fantasia	Фантазія	f	
Finding Nemo	У пошуках Немо	-	
Frozen	Крижане серце	n	
Hercules Realm	Світ Геркулеса	m	
Hocus Pocus	Фокус-покус	m	
The Incredibles	Суперсімейка	f	
Inside Out	Думками навиворіт	-	
Lady and the Tramp	Леді та Блудько	-	
Lady and the Tramp Realm	Світ «Леді та Блудька»	m	
Tramp Realm	Світ «Леді та Блудька»	m	
Lightyear	Базз Рятівник	m	film tag
Lilo & Stitch	Ліло і Стіч	-	
The Lion King	Король Лев	m	
Lion King	Король Лев	m	
The Lion King Realm	Світ «Короля Лева»	m	
The Little Mermaid	Русалонька	f	
Mickey & Friends	Міккі та друзі	pl	
Monsters, Inc.	Корпорація монстрів	f	
Pirates of the Caribbean	Пірати Карибського моря	pl	
Pixar	Pixar	-	brand — keep Latin
Pixar Fest	Pixar Фест	m	
The Wonder of Pixar	Диво Pixar	n	
Ratatouille	Рататуй	m	
Robin Hood	Робін Гуд	m	
Sleeping Beauty	Спляча красуня	f	
Sleepy Hollow	Сонна Лощина	f	
Star Wars	Зоряні війни	pl	
Tangled	Рапунцель: Заплутана історія	-	franchise tag; the island/area is «Дикі хащі»
The Black Cauldron	Чорний казан	m	
The Great Mouse Detective	Великий мишачий детектив	m	
Toy Story	Історія іграшок	f	
Toy Story Realm	Світ «Історії іграшок»	m	
Tron	Трон	m	
Turning Red	Я — червона панда	-	
Up	Вперед і вгору	-	
Zootopia	Зоотрополіс	m	
Bold	Зухвалий	m	clothing/decor style tags are adjectives, agree with the item
Casual	Повсякденний	m	
Cute	Милий	m	
Elegant	Елегантний	m	
Futuristic	Футуристичний	m	
Halloween	Гелловін	m	
Modern	Сучасний	m	
Professional	Діловий	m	
Quirky	Чудернацький	m	distinct from Whimsical = химерний
Rustic	Сільський	m	
Sporty	Спортивний	m	
Traditional	Традиційний	m	
Whimsicals	Химерні	pl	
Villainous	Лиходійські	pl	villager/companion groups are plural adjectives
Wayfinding	Шукачі шляху	pl	
Enchanted	Зачаровані	pl	
Curious	Допитливі	pl	
Fashionistas	Модники	pl	
Gardenistas	Садівники	pl	
Mythical	Міфічні	pl	
Monstrous	Страховидні	pl	
Haunted	Примарні	pl	
Glitchy	Глюкаві	pl	
Mermaids	Русалки	pl	
Cursed	Прокляті	pl	
Frosty	Морозні	pl	
Magical	Чарівні	pl	
Musical	Музичні	pl	
Artsy	Творчі	pl	
Gourmet	Гурмани	pl	
Villains	Лиходії	pl	
Astonished	Здивований	m	
Laughing	Сміх	m	
Thumbs Up	Клас!	-	
Celestial	Небесне	n	
Centennial	Сторіччя	n	
Elements of Nature	Стихії природи	pl	
Global	Загальне	n	
Special	Особливе	n	
Secret	Секретне	n	
Sky	Небо	n	
Seafaring	Мореплавство	n	
Other	Інше	n	
Misc.	Різне	n	
Essentials	Найнеобхідніше	n	
Enchantments	Чари	pl	
Dapper Delights	Чепурні насолоди	pl	
Garden of Whimsy	Сад химер	m	
Godly Glamor	Божественний гламур	m	
Haunted Holiday	Моторошне свято	n	
Haunting Elegance	Моторошна елегантність	f	
Frost & Fairies	Мороз і феї	-	
Majesty and Magnolias	Велич і магнолії	-	
Paw-fect Romance	Кохання лапа в лапу	n	pun kept
Pop City	Поп-місто	n	
Royal Winter	Королівська зима	f	
Retro Roadtrip	Ретро-мандрівка	f	
Lovely Monsters	Милі монстри	pl	
Astronomer's Journey	Шлях астронома	m	
Oasis Retreat	Відпочинок в оазі	m	
The Night Show	Нічне шоу	n	
Winter Warmth 2025	Зимове тепло 2025	n	
Witchful Thinking 2025	Відьмині мрії 2025	pl	wishful→witchful pun
Once Upon A Time	Жили-були	-	
Once Upon a Time	Жили-були	-	
Hakuna Matata!	Акуна матата!	-	
Wishing on a Star	Бажання до зірки	n	
Avast, Me Hearties!	Агов, мої відчайдухи!	-	
A Pirate's Life	Піратське життя	n	
Once Upon a Dream	Якось уві сні	-	
Bibbidi-Bobbidi-Boo!	Біббіді-боббіді-бу!	-	
Happily Ever After	І жили вони довго й щасливо	-	
'Ohana Means Family	Охана — це сім'я	-	
Thinking Happy Thoughts	Думай про щасливе	-	
Best! Team! Ever!	Найкраща! Команда! У світі!	-	
Oh Phooey!	Тьху ти!	-	Donald
Smarter Than the Smarties	Розумніший за розумників	-	Scrooge's motto
Tougher Than the Toughies	Міцніший за міцняків	-	Scrooge's motto
Part of Your World	Частинкою твого світу	-	
Trolley Operators	Вагоновожаті	pl	
Curiouser and Curiouser...	Дедалі дивніше й дивніше...	-	
Anyone Can Cook!	Готувати може кожен!	-	
Just Keep Swimming!	Просто пливи!	-	
Dreams Come True	Мрії здійснюються	-	
Believe in Magic	Вір у дива	-	
To Infinity and Beyond!	До безмежності й далі!	-	
What's a Motto?	А що таке девіз?	-	
Going the Distance	До самої мети	-	
Be Our Guest	Будь нашим гостем	-	
We're Almost There	Ми вже майже там	-	
Diamonds in the Rough	Неогранені діаманти	pl	
Yes, Chef!	Так, шефе!	-	
Caw! Caw! Roar!	Кар! Кар! Р-р-р!	-	
Friends to All	Друг для всіх	-	
Adventure Is Out There!	Пригоди чекають!	-	
Oh, Bother	Ох, халепа	-	Pooh
Animals	Тварини	pl	
Appetizer	Закуска	f	
Appliance	Побутова техніка	f	
Art	Мистецтво	n	
Back	Спина	f	body slot (backpack/wings), not «Назад»
Bathroom	Ванна кімната	f	
Bats	Кажани	pl	
Beards	Бороди	pl	
Bears	Ведмеді	pl	
Beds	Ліжка	pl	
Bedroom	Спальня	f	
Bees	Бджоли	pl	
Birds	Птахи	pl	
Birthmark	Родимка	f	
Black	Чорний	m	
Blue	Синій	m	
Blush	Рум'яна	pl	
Bracelets	Браслети	pl	
Brown	Коричневий	m	
Capybaras	Капібари	pl	
Ceiling Decoration	Оздоблення стелі	n	
Ceiling Texture	Текстура стелі	f	
Coats	Пальта	pl	
Cobras	Кобри	pl	
Contour	Контур	m	
Costumes	Костюми	pl	
Crocodiles	Крокодили	pl	
Decor	Декор	m	
Dessert	Десерт	m	
Dining Room	Їдальня	f	
Entrée	Основна страва	f	
Dinosaur	Динозавр	m	
Doors	Двері	pl	
Dragons	Дракони	pl	
Dresses	Сукні	pl	
Earrings	Сережки	pl	
Electronics	Електроніка	f	
Eyeball	Очне яблуко	n	
Eyebrows	Брови	pl	
Eyeliner	Підводка	f	
Eye Shadow	Тіні для повік	pl	
Facial Lines	Мімічні зморшки	pl	
Face Paint	Аквагрим	m	
Fence & Paving	Огорожі й доріжки	pl	
Fencing	Огорожі	pl	
Festive	Святкове	n	
Floors	Підлога	f	
Floral	Квітковий	m	
Flourishes	Візерунки	pl	
Foliage	Рослинність	f	
Food	Їжа	f	
Foxes	Лиси	pl	
Freckles	Веснянки	pl	
Fruit	Фрукти	pl	
Geese	Гуси	pl	
Geometric Pattern	Геометричний візерунок	m	
Glasses	Окуляри	pl	
Gloves	Рукавички	pl	
Grain	Зернові	pl	
Gray	Сірий	m	
Green	Зелений	m	
Hairstyle	Зачіска	f	
Hats	Головні убори	pl	
Hedgehogs	Їжаки	pl	
Hose Socks	Панчохи й шкарпетки	pl	
Berry	Ягоди	pl	
Citrus	Цитрусові	pl	
Crudités	Овочева нарізка	f	
Digging	Копання	n	
Ingredient	Інгредієнт	m	
Ingredients	Інгредієнти	pl	
Mineral	Мінерал	m	
Photo Posing	Пози для фото	pl	
Seafood	Морепродукти	pl	
Spice	Спеції	pl	
Starchy	Крохмалисте	n	
Sweet	Солодке	n	
Vegetable	Овочі	pl	
Water Vegetation	Водяні рослини	pl	
Kitchen	Кухня	f	
Landscaping	Ландшафт	m	
Lighting	Освітлення	n	
Lipstick	Помада	f	
Living Room	Вітальня	f	
Masks	Маски	pl	
Material Pattern	Візерунок тканини	m	
Materials	Матеріали	pl	
Meat	М'ясо	n	
Monkeys	Мавпи	pl	
Mustaches	Вуса	pl	
Nature	Природа	f	
Neckwear	На шию	-	
Objects	Об'єкти	pl	
Orange	Помаранчевий	m	
Outdoors	Надворі	-	
Owls	Сови	pl	
Pants	Штани	pl	
Paths	Доріжки	pl	
Pegasuses	Пегаси	pl	
Pink	Рожевий	m	
Protein	Білок	m	
Pupils	Зіниці	pl	never «Учні»
Purple	Фіолетовий	m	
Puzzle	Головоломка	f	
Rabbits	Кролики	pl	
Raccoons	Єноти	pl	
Raccoons (Inside Out)	Єноти («Думками навиворіт»)	pl	
Ravens	Ворони	pl	
Rec Room	Кімната відпочинку	f	
Red	Червоний	m	
Reindeer	Північні олені	pl	
Attractions	Атракціони	pl	
Rocks	Каміння	n	
Rugs	Килими	pl	
Scars	Шрами	pl	
Seating	Сидіння	pl	
Shapes	Форми	pl	
Shoes	Взуття	n	
Shorts	Шорти	pl	
Skirts	Спідниці	pl	
Skunks	Скунси	pl	
Sprint Effect	Ефект бігу	m	
Gliders	Планери	pl	
Squirrels	Білки	pl	
Storage	Зберігання	n	
Stubble	Щетина	f	
Study	Кабінет	m	
Symbols	Символи	pl	
Tables	Столи	pl	
Tops	Верх	m	clothing slot
Any Tree	Будь-яке дерево	n	
Beach Tree	Пляжне дерево	n	
Dark Mountain Tree	Дерево з Темної гори	n	
Forest Tree	Лісове дерево	n	
Meadow Tree	Лугове дерево	n	
Savanna Tree	Дерево савани	n	
Snow Cliff Tree	Дерево засніжених скель	n	
Urban Tree	Міське дерево	n	
Wetland Tree	Болотяне дерево	n	
Trees	Дерева	pl	
Trimmings	Оздоби	pl	
Turtles	Черепахи	pl	
Underbrush	Кущі	pl	
Utilities	Корисне	n	
Wall	Стіна	f	
Wallpaper	Шпалери	pl	
Windows	Вікна	pl	
White	Білий	m	
Yellow	Жовтий	m	
Fragments	Фрагменти	pl	
Events	Події	pl	
Achievements	Досягнення	pl	
Blocked Players	Заблоковані гравці	pl	
Furniture	Меблі	pl	
Characters	Персонажі	pl	
Collection	Колекція	f	
Continue	Продовжити	-	
Credits	Автори	pl	never «Кредити»
Downloadable Content	Завантажуваний вміст	m	
Expansions	Доповнення	pl	
Hide User ID	Приховати ID користувача	-	
Show User ID	Показати ID користувача	-	
Cloud Save	Хмарне збереження	n	
Save to cloud	Зберегти в хмару	-	
Recover Save	Відновити збереження	-	
Restore my most-played save	Відновити збереження з найбільшим часом гри	-	
Reset Profile	Скинути профіль	-	
Map	Карта	f	
Menus	Меню	n	
Multiplayer	Гра по мережі	f	
New Game	Нова гра	f	
Phone	Телефон	m	
Photo	Фото	n	
Roadmap	План розвитку	m	
Settings	Налаштування	pl	
Shop	Магазин	m	
Fast Travel	Швидке переміщення	n	
Exit	Вийти	-	
Not Now	Не зараз	-	
All Areas	Усі місцевості	pl	
Unlock by progressing	Відкривається з проходженням	-	
Advance the story to unlock.	Просувайся сюжетом, щоб відкрити.	-	ти-form
HARVEST GIVES:	УРОЖАЙ:	-	
Gallery {progress}	Галерея {progress}	-	
Level {level}	Рівень {level}	-	
ABILITIES	ЗДІБНОСТІ	-	
All day	Увесь день	-	
AVAILABILITY	ДОСТУПНІСТЬ	-	
Available today	Доступно сьогодні	-	
ENTRY POINT	ТОЧКА ВХОДУ	-	
GROWS IN:	РОСТЕ:	-	
HOURGLASS LEVEL	РІВЕНЬ ПІСОЧНОГО ГОДИННИКА	-	
HOW TO COOK IT	ЯК ПРИГОТУВАТИ	-	
WHERE TO FIND IT	ДЕ ЗНАЙТИ	-	
WHERE TO BUY IT	ДЕ КУПИТИ	-	
MOVEMENT	РУХ	-	
Not available	Недоступно	-	
Not available today	Сьогодні недоступно	-	
Not here today	Сьогодні відсутній	-	
PLAY CONDITION	УМОВА ГРИ	-	
RECIPE	РЕЦЕПТ	-	
RELATED ACTIVITY	ПОВ'ЯЗАНЕ ЗАНЯТТЯ	-	
Schedule:	Розклад:	-	
UNIVERSE & HANGOUT BONUS	СВІТ І БОНУС ВІД КОМПАНІЇ	-	
Unlock at Friendship lv.	Відкривається на рівні дружби	-	
None	Немає	-	
or more	або більше	-	
Replay	Повторити	-	
Board Game	Настільна гра	f	
Clothing Sets	Комплекти одягу	pl	
Crafting	Виготовлення	n	
Critters	Звірята	pl	
Exhibition	Виставка	f	
Fish	Риба	f	
Foraging	Збиральництво	n	
Furniture Sets	Комплекти меблів	pl	
Meals	Страви	pl	
Gems	Самоцвіти	pl	
Mounts	Скакуни	pl	never «Кріплення»
Photo Gallery	Фотогалерея	f	
Quest Puzzles	Головоломки завдань	pl	
